timestamp,vehicle_id,weather_condition,temperature_outside_c,road_type,terrain_type,traffic_density,location_type,altitude_m,humidity_percent,road_surface_condition
2024-01-01 20:00:00,VEH_000,clear,-2.5,asphalt,mountain,light,urban,167,79,good
2024-01-08 06:00:00,VEH_000,clear,-4.9,dirt,mountain,light,suburban,55,76,good
2024-01-15 10:00:00,VEH_000,clear,1.5,gravel,mountain,moderate,suburban,321,55,good
2024-01-22 20:00:00,VEH_000,snow,-4.3,concrete,mountain,light,urban,166,32,slippery
2024-01-29 10:00:00,VEH_000,fog,-2.9,concrete,mountain,moderate,highway,116,57,dry
2024-02-05 08:00:00,VEH_000,clear,-8.9,concrete,mountain,heavy,urban,210,32,dry
2024-02-12 17:00:00,VEH_000,fog,-3.8,asphalt,mountain,heavy,highway,367,38,dry
2024-02-19 12:00:00,VEH_000,clear,-6.8,gravel,mountain,light,urban,131,30,good
2024-01-01 20:00:00,VEH_001,snow,4.9,dirt,mixed,light,urban,174,45,wet
2024-01-08 20:00:00,VEH_001,snow,2.1,concrete,mixed,light,highway,352,47,wet
2024-01-15 19:00:00,VEH_001,clear,1.4,asphalt,mixed,moderate,suburban,407,56,good
2024-01-22 10:00:00,VEH_001,snow,-8.7,concrete,mixed,moderate,urban,218,74,slippery
2024-01-29 12:00:00,VEH_001,fog,1.3,concrete,mixed,light,urban,321,66,dry
2024-02-05 12:00:00,VEH_001,clear,-5.9,concrete,mixed,light,urban,119,77,dry
2024-02-12 16:00:00,VEH_001,clear,-7.3,concrete,mixed,light,suburban,151,59,dry
2024-02-19 11:00:00,VEH_001,clear,-3.3,concrete,mixed,light,urban,371,76,dry
2024-01-01 15:00:00,VEH_002,fog,-0.6,gravel,city,moderate,suburban,352,34,dry
2024-01-08 16:00:00,VEH_002,fog,-4.3,concrete,city,moderate,urban,272,41,good
2024-01-15 08:00:00,VEH_002,snow,-8.7,concrete,city,heavy,urban,78,56,wet
2024-01-22 11:00:00,VEH_002,fog,-6.6,concrete,city,moderate,rural,453,58,dry
2024-01-29 17:00:00,VEH_002,clear,-2.0,concrete,city,moderate,urban,217,41,good
2024-02-05 11:00:00,VEH_002,fog,-5.3,concrete,city,light,suburban,207,48,good
2024-02-12 08:00:00,VEH_002,clear,-3.0,asphalt,city,heavy,suburban,461,33,dry
2024-02-19 07:00:00,VEH_002,clear,0.5,asphalt,city,moderate,urban,202,71,dry
2024-01-01 10:00:00,VEH_003,snow,-2.2,concrete,mountain,light,suburban,464,33,wet
2024-01-08 17:00:00,VEH_003,snow,-1.9,asphalt,mountain,moderate,urban,268,64,wet
2024-01-15 20:00:00,VEH_003,fog,-6.1,concrete,mountain,light,urban,218,61,dry
2024-01-22 06:00:00,VEH_003,snow,2.0,concrete,mountain,light,suburban,319,58,wet
2024-01-29 20:00:00,VEH_003,fog,0.8,asphalt,mountain,moderate,highway,84,73,good
2024-02-05 14:00:00,VEH_003,fog,-9.6,asphalt,mountain,light,urban,441,76,dry
2024-02-12 18:00:00,VEH_003,snow,-5.2,asphalt,mountain,heavy,suburban,246,36,slippery
2024-02-19 13:00:00,VEH_003,clear,-0.3,asphalt,mountain,light,suburban,180,50,good
2024-01-01 19:00:00,VEH_004,clear,-8.3,gravel,mountain,moderate,rural,81,35,dry
2024-01-08 18:00:00,VEH_004,clear,0.0,dirt,mountain,moderate,urban,251,63,dry
2024-01-15 08:00:00,VEH_004,snow,-7.4,gravel,mountain,heavy,urban,160,54,slippery
2024-01-22 15:00:00,VEH_004,snow,-2.4,dirt,mountain,light,urban,306,33,wet
2024-01-29 07:00:00,VEH_004,clear,-6.1,concrete,mountain,moderate,urban,176,70,good
2024-02-05 08:00:00,VEH_004,snow,-4.6,gravel,mountain,heavy,highway,193,66,wet
2024-02-12 13:00:00,VEH_004,snow,-3.8,gravel,mountain,light,rural,189,72,wet
2024-02-19 19:00:00,VEH_004,fog,-5.3,concrete,mountain,moderate,urban,282,75,dry
2024-01-01 10:00:00,VEH_005,clear,-3.0,dirt,mixed,light,suburban,210,68,good
2024-01-08 20:00:00,VEH_005,clear,-4.7,asphalt,mixed,light,suburban,33,33,good
2024-01-15 16:00:00,VEH_005,snow,3.9,dirt,mixed,moderate,urban,455,65,wet
2024-01-22 20:00:00,VEH_005,fog,-0.6,gravel,mixed,light,highway,255,45,dry
2024-01-29 13:00:00,VEH_005,fog,0.8,concrete,mixed,light,highway,137,45,dry
2024-02-05 07:00:00,VEH_005,clear,-9.0,dirt,mixed,moderate,suburban,267,66,good
2024-02-12 18:00:00,VEH_005,fog,-5.5,asphalt,mixed,heavy,urban,450,56,dry
2024-02-19 08:00:00,VEH_005,fog,0.8,dirt,mixed,heavy,urban,158,79,good
2024-01-01 20:00:00,VEH_006,snow,-3.1,asphalt,mixed,moderate,rural,484,70,slippery
2024-01-08 15:00:00,VEH_006,snow,-4.7,gravel,mixed,moderate,urban,443,32,wet
2024-01-15 12:00:00,VEH_006,fog,1.8,gravel,mixed,moderate,urban,278,73,dry
2024-01-22 11:00:00,VEH_006,fog,-7.1,asphalt,mixed,light,highway,193,49,good
2024-01-29 11:00:00,VEH_006,fog,2.9,asphalt,mixed,light,urban,188,45,dry
2024-02-05 11:00:00,VEH_006,fog,-5.0,concrete,mixed,moderate,urban,344,74,good
